Cellname	pairs	order_index	near_p	mitotic_p	farAvg	NaganoCellcycle	repli_score	annote_ratio
GasbE751322	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999320_GasbE751322.pairs.gz	3467	0.6278711931747637	0.15909292467053335	25632285.176146384	G1	0.5842026169335528	0.9944567688522153
GasbE751323	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999321_GasbE751323.pairs.gz	6897	0.44768483434665846	0.22399083642103573	18540901.583304033	G1	0.5133882663325218	0.9928663764047172
GasbE751324	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999322_GasbE751324.pairs.gz	1016	0.731903410671563	0.11400433984309798	24703322.08343985	early/mid-S	0.5565005581622134	0.9947872781786375
GasbE751325	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999323_GasbE751325.pairs.gz	574	0.7823695951855091	0.09441224572481706	23453340.988971006	early/mid-S	0.6060252682661534	0.9951454110625362
GasbE751326	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999324_GasbE751326.pairs.gz	3267	0.6212468291723173	0.13497712788009528	27668635.83811776	G1	0.6626959198106684	0.9951442309591823
GasbE751327	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999325_GasbE751327.pairs.gz	6823	0.45484438586598364	0.2181315433688201	19735462.77194933	G1	0.5444419241785415	0.9939969489957482
GasbE751328	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999326_GasbE751328.pairs.gz	6708	0.4348948245574524	0.2121616143416963	21634956.859815165	G1	0.5576037265110108	0.9942919773294299
GasbE751329	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999327_GasbE751329.pairs.gz	139	0.779084526737757	0.08951071016228387	25296050.922739945	early/mid-S	0.6494456991733756	0.9953662336729333
GasbE751330	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999328_GasbE751330.pairs.gz	6983	0.4683846523688396	0.20777737140790722	18533365.70531862	G1	0.5198160578794092	0.9933690726496285
GasbE751331	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999329_GasbE751331.pairs.gz	5303	0.5662898627292021	0.14807696395009548	26726893.41580297	G1	0.5341727168124472	0.9937641919618765
GasbE751332	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999330_GasbE751332.pairs.gz	2237	0.7465290256486519	0.11445437233299874	26098548.519114353	early/mid-S	0.5763288305942397	0.9948542198300514
GasbE751333	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999331_GasbE751333.pairs.gz	1952	0.6521910555367805	0.1335012852417381	26471567.238506354	early/mid-S	0.6538240162281903	0.9954887124474202
GasbE751334	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999332_GasbE751334.pairs.gz	3398	0.5880441051407123	0.1548029833530464	22823438.747219287	G1	0.5630409133620172	0.9943868647690102
GasbE751335	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999333_GasbE751335.pairs.gz	4983	0.5866803871756118	0.15602255308657856	27662075.39721206	G1	0.6123466307770707	0.995059518365107
GasbE751336	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999334_GasbE751336.pairs.gz	4751	0.5359854219540527	0.14224605407309943	38918987.72119583	G1	0.5305912314955047	0.9937295209098516
GasbE751337	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999335_GasbE751337.pairs.gz	3478	0.608169350910084	0.15400323782249056	25200766.923825275	G1	0.5275364721951329	0.9938128655299464
